id,sku,short_description,Tên SP,price,Quantity_sold,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,rating_avg,brand_name,Date
184081923,8220563108739,Hiển thị màu sắc sống động và hình ảnh chân thực - Công nghệ PurColorChoáng ngợp trước dải màu sắc hiển thị rộng lớn và rực rỡ từ công nghệ PurColor. Đắm chìm trong từng khung hình sống động và chân ...,Smart Tivi Samsung 4K 43 inch UA43AU7002,7149300,98.0,9900000,,2750700,28,25,,available,,4.8,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
548549,1025376924896,"Thiết kế mang phong cách ItaliaĐược tạo nên bởi nhà thiết kế nổi tiếng người Ý - Umberto Palermo, Máy Nước Nóng Ariston SB35E-VN (3500W) mang đậm phong cách thời thượng với kiểu dáng vuông vức toát l...",Máy Nước Nóng Ariston SB35E-VN (3500W),1499000,3501.0,2850000,,1351000,47,635,,available,,4.3,"{'id': 47795, 'name': 'Ariston', 'slug': 'ariston'}",2022-12-30
93066052,8642095294880,"Trải Nghiệm Nội Dung 4K Hoàn Mỹ Trên Thế Hệ Smart TV MớiPurColor Tái Hiện Sắc Màu Cuộc Sống, Rực Rỡ Và Sống Động HơnSmart Tivi Samsung 4K 65 inch UA65AU7700 Mới 2021 - Choáng ngợp trước dải màu sắc...",Smart Tivi Samsung 4K 65 inch UA65AU7700,12689300,86.0,26900000,,14210700,53,26,,available,,4.7,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
196827627,3088517136710,"Thiết kế đẹp mắt, âm thanh chất lượngTivi Xiaomi A2 43 inch có tính năng và giao diện ấn tượng, màu sắc phù hợp với mọi không gian phòng khác nhau. TV còn tích hợp nhiều ứng dụng khác nhau để giúp ng...",Android Tivi Xiaomi Full HD 43 inch A2 L43M7-ETH - Model 2022,5489300,83.0,6900000,,1410700,20,18,,available,,4.7,"{'id': 25422, 'name': 'Xiaomi', 'slug': 'xiaomi'}",2022-12-30
54763799,1469531001006,"Tiết Kiệm Điện NăngDigital InverterTiết kiệm điện năng sử dụng nhờ công nghệ Digital Inverter tiên tiến. Máy hoạt động ổn định,và duy trì tốt nhiệt độ mong muốn mà không cần bật tắt thường xuyên....",Máy lạnh Inverter Samsung AR09TYHQASINSV (1.0HP) - Hàng chính hãng - Chỉ giao tại HCM,5849000,1526.0,8990000,,3141000,35,443,,available,,4.7,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
178058668,4230600010646,Cảm giác thật với màu sắc và độ tương phản đẹpGoogle Tivi Sony 4K 43 inch KD-43X75K với bộ xử lý mạnh mẽ của chúng tôi trên TV Sony BRAVIA 4K này sử dụng các thuật toán nâng cao để giảm nhiễu và tăn...,Google Tivi Sony 4K 43 inch KD-43X75K - Model 2022,8579300,138.0,14900000,,6320700,42,44,,available,,5.0,"{'id': 18641, 'name': 'Sony', 'slug': 'sony'}",2022-12-30
110791834,6706874410555,NORTH BAYOUđược thành lập vào năm 2006. Chuyên sản xuất các thiết bị ngoại vi áp dụng khoa học công nghệ và công thái học giúp di trì khả năng làm việc lâu dài hiệu quả.Giá treo màn hình máy tính F80...,Giá Treo Màn Hình Máy Tính North Bayou F80 Lắp Cho Màn Hình LCD 17 inch - 30 inch Hàng Nhập Khẩu,685000,193.0,719000,,34000,5,51,,available,,4.7,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-12-30
49989931,2624764440117,"TÍNH NĂNG NỔI BẬT:Tháo ráp, lắp rời dễ dàng, có hướng dẫn sử dụngKhung treo thẩm mỹ, chắc chắn, gọn gang, tiện lợi treo mọi nơiThiết kế thông minh, nhẹ nhàng, chịu lực tốt hơn các dòng thông thường...",Giá tivi treo tường 40-65 inch,79000,413.0,79000,,0,0,100,,available,,4.6,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
176058957,2028992480754,"Google Tivi Sony 2K 32 inch KD-32W830K trang bị các công nghệ xử lý hình ảnh, âm thanh hiện đại như nâng cấp hình ảnh X-Reality PRO, chuyển động mượt Motionflow XR 200, Dolby Atmos, DTS Digital Surrou...",Google Tivi Sony 2K 32 inch KD-32W830K - Model 2022,6809300,84.0,8900000,,2090700,23,19,,available,,4.7,"{'id': 18641, 'name': 'Sony', 'slug': 'sony'}",2022-12-30
79410890,2214548481800, ...,"Smart TV TCL Android 8.0 32 inch HD wifi - 32L61 - HDR, Micro Dimming, Dolby, Chromecast, T-cast, AI+IN",3891000,147.0,5990000,,2099000,35,40,,available,,4.5,"{'id': 27932, 'name': 'TCL', 'slug': 'tcl'}",2022-12-30
161954344,8973240280349,"Niềm vui từ mọi góc độMáy chiếu công nghệ bỏ túi Smart Tivi Samsung The Freestyle SP-LSP3 thiết kế gọn nhẹ, mạnh mẽ và tối giản bất ngờ.Chọn góc chiếu bạn muốn - Khả năng điều chỉnh linh hoạt 180˚...",Máy chiếu Smart TV Samsung 100 inch bỏ túi The Freestyle - SP-LSP3BLAXXV,13799300,120.0,24900000,,11100700,45,39,,available,,4.8,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
53727656,2818278893570,"Micro karaoke không dây màn hình LCD Zansong V12Đặc điểm nổi bật:* Micro nhạy, độ hút âm cao 360 độ cho âm thanh trung thực.* Trang bị màng lưới lọc âm kim loại giảm rú, giảm nhiễu âm, giảm tiếng ồ...",Micro karaoke không dây màn hình LCD Zansong V12 (hàng nhập khẩu),199000,466.0,199000,,0,0,157,,available,,4.1,"{'id': 326661, 'name': 'ZANSONG', 'slug': 'zansong'}",2022-12-30
93088626,3647624634047,"Trải Nghiệm Nội Dung 4K Hoàn Mỹ Trên Thế Hệ Smart TV MớiPurColor Tái Hiện Sắc Màu Cuộc Sống, Rực Rỡ Và Sống Động HơnSmart Tivi Samsung 4K 55 inch UA55AU7700 Mới 2021 - Choáng ngợp trước dải màu sắc...",Smart Tivi Samsung 4K 55 inch UA55AU7700,10269300,215.0,20900000,,10630700,51,60,,available,,4.8,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
87941227,3691954871751,Công Nghệ Dynamic Crystal Color Chân Thực Sắc Màu Với Trạng Thái Tinh Khiết Của Tinh Thể MịnSmart Tivi Crystal Samsung 4K 55 inch UA55AU8000 Mới 2021 - Thưởng thức những khung hình chân thực với tỷ s...,Smart Tivi Crystal Samsung 4K 55 inch UA55AU8000,10859300,176.0,20000000,,9140700,46,67,,available,,4.5,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
162750954,3255607431329,"Máy lạnh Sharp Inverter 1 HP AH-X10ZW được tích hợp nhiều công nghệ như bảo vệ sức khỏe nhờ lưới lọc bụi polypropylene, tiết kiệm điện với công nghệ J-Tech Inverter và đa dạng chế độ điều chỉnh như ch...",Máy Lạnh Sharp Inverter 1 HP AH-X10ZW - Chỉ giao tại HCM,5719000,76.0,6890000,,1171000,17,17,,available,,5.0,"{'id': 19912, 'name': 'Sharp', 'slug': 'sharp'}",2022-12-30
123548222,8261923619197,"       GIÁ TREO MÀN HÌNH MÁY TÍNH F80 / Giá đỡ màn hình máy tính - XOAY 360 - HÀNG NHẬP KHẨU    CHẤT LIỆU: Giá treo màn hình máy tính NB F80 / giá đỡ màn hình   + Sắt, Hợp kim nhôm sơn tĩnh điện...",Giá treo màn hình máy tính F80 - Xoay 360 độ ,276780,12.0,276780,,0,0,0,,available,,0.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-12-30
44183140,3648854640392,"ĐIỀU KHIỂN MAGIC REMOTE TIVI LG 2019 AN-MR19BA CHO SMART TIVI LG 2019 Hàng hãng ra, mới 100%Nguồn: 2 viên pin 2AKhoảng cách sử dụng: 8mKích thước: 185*48*40 mmTrọng lượng: 99gTương thích 100% chứ...",Magic Remote tivi LG 2019 AN-MR19BA-Hàng chính hãng,450000,585.0,450000,,0,0,194,,available,,4.8,"{'id': 18851, 'name': 'LG', 'slug': 'lg'}",2022-12-30
205621119,3161979829824,"THIẾT KẾACNOS CS200PU có kiểu dáng hình hộp cực kì gọn nhẹ, với kích thước ba chiều lần lượt là 40.5 x 28.5 x 21.0 cm, trọng lượng chỉ có 7.0kg, kèm quai xách tay tiện lợi nên bạn có thể dễ dàng mang...",Loa karaoke di động Kbeatbox ACNOS CS200PU / CS250PU - Hàng Chính Hãng,3390000,6.0,4290000,,900000,21,2,,available,,5.0,"{'id': 113119, 'name': 'Acnos', 'slug': 'acnos'}",2022-12-30
112636044,7433477318876,Khuyến cáo nên sử dụng cho tủ lạnh hoặc máy giặt cửa đứng. Loại cao cấp chống rung lắc tốt hơn vui lòng ghé shop mua.Hình CT thật 100% Tháo ráp dễ dàng chân đệm cao su êm. Chiều cao 15cm+ Size nhỏ ...,Chân máy giặt cửa đứng - chân tủ lạnh inox CP  Hàng Chính Hãng,245000,243.0,245000,,0,0,72,,available,,4.8,"{'id': 79420, 'name': 'CP', 'slug': 'cp'}",2022-12-30
119193184,8612580459931,"Nguồn: 2 viên pin AAASử dụng vật liệu ABS an toàn và thân thiện với môi trườngKhoảng cách sử dụng: 8m· Thiết kế nhỏ gọn, vừa tầm tay;· Các phím to, rõ, dễ nhìn, không bị phai mờ theo thời gian.· ...",Remote dành cho máy lạnh LG ,55000,45.0,55000,,0,0,5,,available,,4.2,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
185243464,9957869384925,"Android Tivi Xiaomi 4K UHD L43M6-6ARG sở hữu kích thước màn hình 43 inch, thiết kế tràn viền hiện đại.Thiết kế cạnh viền siêu mảnh manh đến trải nghiệm xem độc đáo. Thiết kế đột phá này mang lại tỷ l...","Android Tivi Xiaomi 4K 43 inch L43M6-6ARG - Mi TV 4K P1 Seris 43"" - Model 2022",6439300,97.0,9990000,,3550700,36,34,,available,,4.5,"{'id': 25422, 'name': 'Xiaomi', 'slug': 'xiaomi'}",2022-12-30
828429,9896735842777,"Thiết kế tinh tế, hiện đạiMáy Nước Nóng Panasonic DH-3RL2VH (3500W) với vẻ ngoài màu trắng tinh tế sẽ phù hợp với mọi kiểu không gian phòng tắm. Hơn nữa, có thiết kế nhỏ gọn, tiện dụng, bạn có thể dễ...",Máy Nước Nóng Panasonic DH-3RL2VH (3500W),1989000,1222.0,2990000,,1001000,33,210,,available,,4.3,"{'id': 18804, 'name': 'Panasonic', 'slug': 'panasonic'}",2022-12-30
201572209,2763761780606,"Ngày 06/09 vừa qua, FPT Telecom đã giới thiệu thiết bị thế hệ mới nhất Bộ giải mã FPT Play Box 2022 mã S650. Thiết bị FPT Box này lập tức thu hút sự chú ý của giới công nghệ khi giới thiệu những tính ...",FPT Play Box 2022 mã S650 – box Android Tốt Nhất VN - Tặng kèm gói 14 tháng truyền hình FPT -  Hàng chính hãng,995000,35.0,995000,,0,0,9,,available,,4.6,"{'id': 33101, 'name': 'FPT', 'slug': 'fpt'}",2022-12-30
81362796,5642088704042,"Thiết kế nguyên khối hiện đạiMáy Lạnh Toshiba Inverter 1.5 HP RAS-H13E2KCVG-V sở hữu thiết kế mới mẻ, độc đáo với dạng nguyên khối sang trọng, bề mặt máy bằng phẳng. Với gam màu trắng cùng kiểu dáng...",Máy Lạnh Toshiba Inverter 1.5 HP RAS-H13E2KCVG-V - Chỉ giao tại HCM,10810000,28.0,13900000,,3090000,22,9,,available,,5.0,"{'id': 18634, 'name': 'Toshiba', 'slug': 'toshiba'}",2022-12-30
73811766,5135748572986,"Thiết kế dạng hình khối, chắc chắn với thiết kế dạng hình khối màu đen có các cạnh góc vuông tạo nên sự tinh tế, sang trọng cho căn phòng của bạn.Công suất 150 W mạnh mẽ với 2.1 kênh mang âm thanh ...",Loa thanh soundbar Samsung HW-T420 - Hàng chính hãng,1164000,1.0,1164000,,0,0,0,,available,,0.0,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
20478646,4534283796634,ModelVH-2299HY2Dung tích220 lítHãng sản xuất Xuất xứChính hãng  Công suất120WKích thước(DxRxC mm)860 x 620 x 845 mmNhiệt độ≤-18℃Số ngăn1 ngăn đôngKiểu cửa1 cánh...,TỦ ĐÔNG SANAKY 220 LÍT VH-2299HY2 ĐỒNG (R134A) -HÀNG CHÍNH HÃNG,4749000,50.0,5090000,,341000,7,15,,available,,5.0,"{'id': 40633, 'name': 'Sanaky', 'slug': 'sanaky'}",2022-12-30
12441864,3217900630009,"Xoay 180 độ, thích hợp gần đài phát sóng và chung cư cao tầng.Thiết kế có thể treo tường, gắn ban công, để bàCó độ khuyếch đại cao chống nhiễu 5V DC.Độ dài dây: 2 mét.Tần số: 470-862MHzNguồn điện...",Anten tàu bay DVB T2 model TB105 KD 2 mét,189000,379.0,189000,,0,0,78,,available,,4.1,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
50560441,4430813501702,"Diệt khuẩn, khử mùi hiệu quả cùng công nghệ Nano Fresh Ag+Công nghệ Nano Fresh Ag+  ứng dụng tính chất của các ion Ag+, giúp diệt khuẩn và ngăn ngừa sự phát triển của vi khuẩn nấm mốc, giữ bầu không ...",Tủ Lạnh Aqua 130 lít AQR-T150FA-BS,4039000,1330.0,5230000,,1191000,23,490,,available,,4.7,"{'id': 25406, 'name': 'Aqua', 'slug': 'aqua'}",2022-12-30
87909066,7013562675267,"Thiết kế tối giản, không viền 3 cạnh sang trọngSmart Tivi Samsung 4K 65 inch UA65AU7000 được loại bỏ dạng khung viền dày to dễ làm bạn xao nhãng tầm mắt khi xem tivi và thay thế bằng thiết kế Airslim...",Smart Tivi Samsung 4K 65 inch UA65AU7000,16550000,,16550000,,0,0,0,,available,,0.0,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
57617417,6378508864375,"Tăng cường hoạt động giải trí của bạnMang âm thanh xứng tầm vào hoạt động giải trí của bạn qua loa soundbar với thiết kế thanh lịch nhất.Kết hợp với những công nghệ mới nhất, loa Bose Soundbar đượ...",Loa Soundbar Bose TV Speaker - Hàng Chính Hãng,7990000,35.0,7990000,,0,0,16,,available,,4.8,"{'id': 21673, 'name': 'Bose', 'slug': 'bose'}",2022-12-30
120278570,4159381033516,"CỦ LOA TREBLE KÈN 450 RCF TIẾNG NHUYỄN MỊN - NẮP NHÔM NHẬP KHẨU + TỤ 2.2mf SỊN - GIÁ 1 CÁICam kết hàng thật như hình.ĐỔI TRẢ VỚI MỌI LÝ DO!Khi nhận hàng, Quý khách hàng được kiểm tra hàng trước khi...",CỦ LOA TREBLE KÈN 450 RCF TIẾNG NHUYỄN MỊN - NẮP NHÔM HÀNG NHẬP KHẨU + TỤ SỊN - GIÁ 1 CÁI,270000,11.0,270000,,0,0,3,,available,,4.0,"{'id': 4987269, 'name': 'RCF', 'slug': 'rcf'}",2022-12-30
185243462,7067835804163,"Android Tivi Xiaomi 4K UHD L55M6-6ARG sở hữu kích thước màn hình 55 inch, thiết kế tràn viền hiện đại.Thiết kế cạnh viền siêu mảnh manh đến trải nghiệm xem độc đáo. Thiết kế đột phá này mang lại tỷ l...","Android Tivi Xiaomi 4K 55 inch L55M6-6ARG - Mi TV 4K P1 Seris 55"" - Model 2022",8049300,105.0,11990000,,3940700,33,33,,available,,4.5,"{'id': 25422, 'name': 'Xiaomi', 'slug': 'xiaomi'}",2022-12-30
58086409,1369325994548,"Tấm chắn gió điều hòa, máy lạnhViệc ngồi dưới gió điều hòa thổi trực tiếp sẽ gây ra những vấn đề cực kỳ nghiêm trọng và KHÓ CHỊU cho bất kể ai, đặc biệt với dân văn phòng, trẻ em, người già Với sản ...","Tấm Chăn Gió Điều Hòa, Máy Lạnh, Có Lỗ Nhỏ Tản Nhiệt Lạnh Đều Phòng Xoay 180 Độ",88000,517.0,190000,,102000,54,91,,available,,4.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
52785519,1628635351879,"Thiết kế kiểu dáng sang trọngMáy Giặt Cửa Trước Inverter Toshiba TW-BK105S2V-WS (9.5kg) - Hàng Chính Hãng sở hữu kiểu thiết kế lồng ngang hiện đại, mang phong cách châu Âu cùng với gam màu trắng tinh...",Máy giặt Toshiba Inverter 9.5 Kg TW-BK105S2V(WS) - Chỉ giao HCM,6419000,239.0,10890000,,4471000,41,106,,available,,4.6,"{'id': 18634, 'name': 'Toshiba', 'slug': 'toshiba'}",2022-12-30
91272439,5108443897791,Mô Tả Sản PhẩmGiá Treo Tivi Di Động North Bayou AVA1500 (32 - 70 inch) được thiết kế thông minh với công dụng giúp người dùng có thể thoải mái đặt và di chuyển tivi ở các vị trí bất kì một cách dễ...,Giá Treo TiVi Di Động North Bayou AVA1500 Màu Đen Lắp Cho Màn Hình 32 inch - 70 inch Nhập Khẩu,955780,12.0,955780,,0,0,1,,available,,4.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-12-30
192377628,6732490243504,...,[Sản phẩm mới nhất 2022] GOOGLE Tivi 43'' 4K HDR -43T66 - Gam Màu Rộng  Dolby Audio - Tivi Giá Rẻ Chất Lượng -Hàng chính hãng,7072000,32.0,10490000,,3418000,33,11,,available,,5.0,"{'id': 27932, 'name': 'TCL', 'slug': 'tcl'}",2022-12-30
112055567,4483793207404,"Thông tin chi tiết:Loại sản phẩm: Remote điều khiển từ xa TiviThương hiệu TV tương thích: SONYDòng Ti vi tương thích: Smart TV, Tivi Thông Minh SONYTính năng nổi bật: Ra lệnh bằng giọng nóiVật ...","Remote Điều Khiển Giọng Nói Smart TV, Tivi Thông Minh Dành Cho SONY BRAVIA",265000,26.0,270000,,5000,2,0,,available,,0.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
119194341,9876220962006,     ...,Remote Điều khiển dành cho tivi led Samsung Smart UHD,95000,133.0,95000,,0,0,22,,available,,4.2,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
162750934,9634476383667,"Thiết kế sang trọng, hiện đạiMáy giặt LG Inverter 9 kg FM1209S6W thuộc dòng máy giặt cửa trước hiện đại, kết hợp với gam màu trắng tạo nên vẻ đẹp sang trọng, tinh tế, có thể phối hợp với bất kỳ không...",Máy giặt LG Inverter 9 kg FM1209S6W - Chỉ giao tại HCM,6219000,55.0,7590000,,1371000,18,12,,available,,5.0,"{'id': 18851, 'name': 'LG', 'slug': 'lg'}",2022-12-30
10126332,6554254022843,"- Kích thước (W X H X D): 131,5 mm x 69,5 mm x 43,5 mm- Trọng lượng : 220 g- Tần số  FM 87.5 – 108MHz               AM 530 kHz – 1,605 kHz   - Antenna (FM) : Có- Volume Control : Quay số- Đường ...",Radio Sony ICF-P36 (Hàng nhập khẩu),790000,756.0,790000,,0,0,124,,available,,4.5,"{'id': 18641, 'name': 'Sony', 'slug': 'sony'}",2022-12-30
178058680,6747623791989,Cảm giác thật với màu sắc và độ tương phản đẹpGoogle Tivi Sony 4K 55 inch KD-55X75K với bộ xử lý mạnh mẽ của chúng tôi trên TV Sony BRAVIA 4K này sử dụng các thuật toán nâng cao để giảm nhiễu và tăn...,Google Tivi Sony 4K 55 inch KD-55X75K - Model 2022,12289300,110.0,18900000,,6610700,35,34,,available,,4.6,"{'id': 18641, 'name': 'Sony', 'slug': 'sony'}",2022-12-30
128354082,2078851260211,"Thiết kế mỏng tinh tếSmart tivi Casper 43 inch 43FX5200 được thiết kế tinh giản với độ mỏng tối ưu, cùng với đó là chân đế hình chữ V úp ngược tạo nên sự chắc chắn khi đặt chiếc tivi này lên kệ hoặc ...",Smart Tivi Casper Full HD 43 inch 43FX5200,4829300,95.0,6900000,,2070700,30,36,,available,,4.8,"{'id': 48688, 'name': 'Casper', 'slug': 'casper'}",2022-12-30
123547688,1163441582726,"Chân tivi để bàn - Chân đế tivi đa năngĐây là một sản phẩm tuyệt vời, giải pháp hoàn hảo cho những gia đình lỡ làm mất chân đế tivi của hãng.Chân đế tivi đa năng sẽ được lắp đặt vào 4 vị trí ốc sau ...",Chân Đế Tivi đa năng 24 - 65 inch - Chân tivi để bàn Hàng loại 1 - Lắp đặt mọi hãng Tivi,163900,181.0,163900,,0,0,37,,available,,4.1,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
195254839,5428669829494,"Thiết kế dạng hình khối, đường nét tinh tế sang trọngLoa thanh Soundbar Samsung 2.1 HW-T420 sở hữu thiết kế dạng hình khối màu đen, các cạnh góc vuông tinh tế hiện đại, đem lại nét đẹp sang trọng, g...",Loa thanh Soundbar Samsung 2.1 HW-T420 - Hàng chính hãng,2490000,37.0,3090000,,600000,19,6,,available,,4.8,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
144121288,6178877579094,"Thương hiệu CPKhung Treo Tivi Áp Tường 19 Inch - 65 Inch được làm từ thép sơn tĩnh điện, thiết kế chắc chắn, bền bỉ, áp sát tường nên không chiếm nhiều không gian, có thể lắp đặt ở phòng khách, phòn...",Khung treo tivi NGHIÊNG CP - Hàng chính hãng,145000,201.0,145000,,0,0,42,,available,,4.5,"{'id': 79420, 'name': 'CP', 'slug': 'cp'}",2022-12-30
167580331,2092425633736,"Ngắm nhìn thế giới với một tỷ sắc màu - Công nghệ Quantum Dot hiển thị 100% dải màuCông nghệ Quantum Dot hiển thị 100% dải màu với độ chân thực sống động và rõ nét, cho bạn thưởng thức từng khung hìn...",Smart Tivi QLED Samsung 4K 55 inch QA55Q60BA - Model 2022,13699300,29.0,22900000,,9200700,40,7,,available,,4.7,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
123548101,9348455194253,Giá Treo Hai Màn Hình NB-H180 22-32 Inch - Tay Treo Màn Hình Kép Xếp Màn Trên Dưới✪ Đặc điểm nổi bật của tay hai treo màn hình máy tính NB-H180 new 2021Dùng với nhiều loại màn hình khác nhau <32 ...,Giá Treo Máy Tính Hai Màn Hình NB H180 22-32 Inch -Hàng Chính hãng ,537440,15.0,537440,,0,0,3,,available,,5.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-12-30
73829670,8198645176968,"Thông tin chi tiết:Loại sản phẩm: Remote điều khiển từ xa TVThương hiệu TV tương thích: LGMã remote: AKB75095315Dòng TV tương thích: Smart TV, Internet Tivi LG, Ti vi thông minh LGVật liệu: Nhựa...","Remote Điều Khiển Dành Cho Smart TV LG, Internet Tivi, Ti Vi Thông Minh LG AKB75095315",34900,8.0,34900,,0,0,0,,available,,0.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
184080977,7786485504511,Công nghệ PurColorChoáng ngợp trước dải màu sắc hiển thị rộng lớn và rực rỡ từ công nghệ PurColor. Đắm chìm trong từng khung hình sống động và chân thực như bước ra từ cuộc sống.Bộ xử lý hình ảnh C...,Smart Tivi Samsung 4K 55 inch UA55AU7002,10169300,84.0,13900000,,3730700,27,18,,available,,4.6,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-12-30
